tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,weighted_rating
tt0198781,movie,"Monsters, Inc.","Monsters, Inc.",0,2001,\N,92,"Adventure,Animation,Comedy",8.1,1043315,7.8896452422060435
tt1201607,movie,Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 2,0,2011,\N,130,"Adventure,Family,Fantasy",8.1,1012980,7.884404125851382
tt0469494,movie,There Will Be Blood,There Will Be Blood,0,2007,\N,158,Drama,8.2,681957,7.880826529061942
tt0088247,movie,The Terminator,The Terminator,0,1984,\N,107,"Action,Adventure,Sci-Fi",8.1,977169,7.87787056371478
tt2278388,movie,The Grand Budapest Hotel,The Grand Budapest Hotel,0,2014,\N,99,"Comedy,Drama",8.1,940121,7.8706810785799854
tt6966692,movie,Green Book,Green Book,0,2018,\N,130,"Biography,Comedy,Drama",8.2,652467,7.869843496859863
tt0119488,movie,L.A. Confidential,L.A. Confidential,0,1997,\N,138,"Crime,Drama,Mystery",8.2,647383,7.867873206865236
tt0382932,movie,Ratatouille,Ratatouille,0,2007,\N,111,"Adventure,Animation,Comedy",8.1,904975,7.863416899684267
tt3315342,movie,Logan,Logan,0,2017,\N,137,"Action,Drama,Sci-Fi",8.1,902885,7.862970401597048
tt0118715,movie,The Big Lebowski,The Big Lebowski,0,1998,\N,117,"Comedy,Crime",8.1,899490,7.862241505847041
tt0848228,movie,The Avengers,The Avengers,0,2012,\N,143,"Action,Sci-Fi",8.0,1525861,7.860125756136708
tt2096673,movie,Inside Out,Inside Out,0,2015,\N,95,"Adventure,Animation,Comedy",8.1,883398,7.858724720099504
tt0892769,movie,How to Train Your Dragon,How to Train Your Dragon,0,2010,\N,98,"Action,Adventure,Animation",8.1,865653,7.85472406802576
tt0083658,movie,Blade Runner,Blade Runner,0,1982,\N,117,"Action,Drama,Sci-Fi",8.1,863199,7.854160341521602
tt1205489,movie,Gran Torino,Gran Torino,0,2008,\N,116,Drama,8.1,847070,7.850389755891889
tt0119698,movie,Princess Mononoke,Mononoke-hime,0,1997,\N,133,"Adventure,Animation,Fantasy",8.3,468087,7.848931810075009
tt0112641,movie,Casino,Casino,0,1995,\N,178,"Crime,Drama",8.2,601419,7.848931715651016
tt0071853,movie,Monty Python and the Holy Grail,Monty Python and the Holy Grail,0,1975,\N,91,"Adventure,Comedy,Fantasy",8.2,593494,7.845445334100676
tt2015381,movie,Guardians of the Galaxy,Guardians of the Galaxy,0,2014,\N,121,"Action,Adventure,Comedy",8.0,1333677,7.8426498301612675
tt5311514,movie,Your Name.,Kimi no na wa.,0,2016,\N,106,"Animation,Drama,Fantasy",8.4,369093,7.835432099670628
tt2024544,movie,12 Years a Slave,12 Years a Slave,0,2013,\N,134,"Biography,Drama,History",8.1,771587,7.831087428364913
tt1431045,movie,Deadpool,Deadpool,0,2016,\N,108,"Action,Comedy,Sci-Fi",8.0,1223029,7.830453849763017
tt0116282,movie,Fargo,Fargo,0,1996,\N,98,"Crime,Drama,Thriller",8.1,764822,7.829210717381262
tt0117951,movie,Trainspotting,Trainspotting,0,1996,\N,93,"Crime,Drama",8.1,756344,7.826821484728601
tt0095765,movie,Cinema Paradiso,Nuovo Cinema Paradiso,0,1988,\N,174,"Drama,Romance",8.5,306270,7.825955104381144
tt0405159,movie,Million Dollar Baby,Million Dollar Baby,0,2004,\N,132,"Drama,Sport",8.1,753062,7.82588520718422
tt0073195,movie,Jaws,Jaws,0,1975,\N,124,"Adventure,Horror,Thriller",8.1,715199,7.814600569654868
tt0084787,movie,The Thing,The Thing,0,1982,\N,109,"Horror,Mystery,Sci-Fi",8.2,507252,7.802486249074855
tt0075148,movie,Rocky,Rocky,0,1976,\N,120,"Drama,Sport",8.1,670016,7.799855544867126
tt0087843,movie,Once Upon a Time in America,Once Upon a Time in America,0,1984,\N,229,"Crime,Drama",8.3,399693,7.797873909704112
tt3659388,movie,The Martian,The Martian,0,2015,\N,144,"Adventure,Drama,Sci-Fi",8.0,979944,7.7956585516821315
tt1160419,movie,Dune: Part One,Dune: Part One,0,2021,\N,155,"Action,Adventure,Drama",8.0,976099,7.794993065006652
tt0347149,movie,Howl's Moving Castle,Hauru no ugoku shiro,0,2004,\N,119,"Adventure,Animation,Family",8.2,493123,7.79443572570639
tt2106476,movie,The Hunt,Jagten,0,2012,\N,115,Drama,8.3,395153,7.794072480538163
tt2119532,movie,Hacksaw Ridge,Hacksaw Ridge,0,2016,\N,139,"Biography,Drama,History",8.1,651905,7.793508400926018
tt0033467,movie,Citizen Kane,Citizen Kane,0,1941,\N,119,"Drama,Mystery",8.2,485940,7.790216616724891
tt0120735,movie,"Lock, Stock and Two Smoking Barrels","Lock, Stock and Two Smoking Barrels",0,1998,\N,107,"Comedy,Crime",8.1,640195,7.789259661251764
tt1663202,movie,The Revenant,The Revenant,0,2015,\N,156,"Adventure,Drama,Western",8.0,921957,7.785139879425685
tt0027977,movie,Modern Times,Modern Times,0,1936,\N,87,"Comedy,Drama,Romance",8.5,276626,7.784427228082457
tt1010048,movie,Slumdog Millionaire,Slumdog Millionaire,0,2008,\N,120,"Crime,Drama,Romance",8.0,899825,7.780833941403331
tt0246578,movie,Donnie Darko,Donnie Darko,0,2001,\N,113,"Drama,Mystery,Sci-Fi",8.0,892028,7.779275576266715
tt0097165,movie,Dead Poets Society,Dead Poets Society,0,1989,\N,128,"Comedy,Drama",8.1,609578,7.777573328552732
tt0317705,movie,The Incredibles,The Incredibles,0,2004,\N,115,"Action,Adventure,Animation",8.0,871077,7.774976238871394
tt0947798,movie,Black Swan,Black Swan,0,2010,\N,108,"Drama,Thriller",8.0,869121,7.774566285845319
tt0105695,movie,Unforgiven,Unforgiven,0,1992,\N,130,"Drama,Western",8.2,459398,7.773834613639989
tt2084970,movie,The Imitation Game,The Imitation Game,0,2014,\N,114,"Biography,Drama,Thriller",8.0,861449,7.772943807866358
tt5027774,movie,"Three Billboards Outside Ebbing, Missouri","Three Billboards Outside Ebbing, Missouri",0,2017,\N,115,"Comedy,Crime,Drama",8.1,590754,7.769941640179196
tt0378194,movie,Kill Bill: Vol. 2,Kill Bill: Vol. 2,0,2004,\N,137,"Action,Crime,Thriller",8.0,846622,7.7697410720509055
tt0052357,movie,Vertigo,Vertigo,0,1958,\N,128,"Mystery,Romance,Thriller",8.2,450315,7.767923504600459
tt0053125,movie,North by Northwest,North by Northwest,0,1959,\N,136,"Adventure,Drama,Mystery",8.3,363690,7.766058687430512
tt0499549,movie,Avatar,Avatar,0,2009,\N,162,"Action,Adventure,Fantasy",7.9,1444712,7.765644864351101
tt0401792,movie,Sin City,Sin City,0,2005,\N,124,"Crime,Thriller",8.0,812516,7.7620194832636855
tt15097216,movie,Jai Bhim,Jai Bhim,0,2021,\N,164,"Crime,Drama",8.6,229152,7.758934120803199
tt0120338,movie,Titanic,Titanic,0,1997,\N,194,"Drama,Romance",7.9,1355469,7.757958798293494
tt1979320,movie,Rush,Rush,0,2013,\N,123,"Biography,Drama,Sport",8.1,544494,7.749557113505852
tt0056592,movie,To Kill a Mockingbird,To Kill a Mockingbird,0,1962,\N,129,"Crime,Drama",8.3,346111,7.7490128184917175
tt1950186,movie,Ford v Ferrari,Ford v Ferrari,0,2019,\N,152,"Action,Biography,Drama",8.1,541127,7.74797469531974
tt3783958,movie,La La Land,La La Land,0,2016,\N,128,"Comedy,Drama,Music",8.0,732565,7.741715479640443
tt0371746,movie,Iron Man,Iron Man,0,2008,\N,126,"Action,Adventure,Sci-Fi",7.9,1191503,7.741275863388657
tt1856101,movie,Blade Runner 2049,Blade Runner 2049,0,2017,\N,164,"Action,Drama,Mystery",8.0,726767,7.740107470973393
tt1895587,movie,Spotlight,Spotlight,0,2015,\N,129,"Biography,Crime,Drama",8.1,524395,7.739894183071371
tt1504320,movie,The King's Speech,The King's Speech,0,2010,\N,118,"Biography,Drama,History",8.0,725286,7.739693517207147
tt0107048,movie,Groundhog Day,Groundhog Day,0,1993,\N,101,"Comedy,Drama,Fantasy",8.0,725280,7.739691837467312
tt0381061,movie,Casino Royale,Casino Royale,0,2006,\N,144,"Action,Adventure,Thriller",8.0,725110,7.739644235828411
tt1291584,movie,Warrior,Warrior,0,2011,\N,140,"Action,Drama,Sport",8.1,519602,7.737510657445664
tt1454029,movie,The Help,The Help,0,2011,\N,146,Drama,8.1,518763,7.7370901797719895
tt0056172,movie,Lawrence of Arabia,Lawrence of Arabia,0,1962,\N,227,"Adventure,Biography,Drama",8.3,333302,7.735890514879927
tt1798709,movie,Her,Her,0,2013,\N,126,"Drama,Romance,Sci-Fi",8.0,710626,7.735523634658168
tt0082096,movie,Das Boot,Das Boot,0,1981,\N,149,"Drama,War",8.4,281988,7.734353235440997
tt0758758,movie,Into the Wild,Into the Wild,0,2007,\N,148,"Adventure,Biography,Drama",8.0,685496,7.728056110052906
